Nama Agen/Sistem,Fungsi Utama,Arsitektur/Pola Orkestrasi,Fitur Unggulan,Dukungan Model LLM,Penyimpanan Memori & Pembelajaran,Platform/Integrasi,Target Pengguna atau Kasus Penggunaan,Sumber
GPT-4 (versi awal),"Kecerdasan Umum Buatan (AGI) awal yang mencakup penalaran, pemrograman, matematika, visi, dan interaksi alat.",Model bahasa besar (LLM) berbasis arsitektur Transformer; autoregresif (prediksi kata berikutnya).,"Kemampuan integratif lintas domain (seni + pemrograman), penggunaan alat eksternal (API, mesin pencari), dan Theory of Mind yang canggih.",OpenAI GPT-4,Dapat belajar dalam sesi (in-context learning) tetapi tidak memiliki pembaruan berkelanjutan atau memori jangka panjang yang evolusioner.,"Integrasi API (Kalender, Email, Pencarian), antarmuka teks (Linux shell, perintah Windows), dan integrasi visual (SVG, TiKZ).","Praktisi AI, pengembang perangkat lunak, peneliti medis, hukum, dan profesional kreatif.",1
ChatGPT (berbasis GPT-3.5),Model bahasa instruksi untuk percakapan dan penyelesaian tugas berbasis teks.,"Transformer autoregresif, varian fine-tuned dari GPT-3.","Kemampuan percakapan instruksional, namun terbatas dalam tugas penalaran kompleks dan penggunaan alat dibandingkan GPT-4.",text-davinci-003 / GPT-3.5,Tidak mendukung pembaruan berkelanjutan; pembelajaran terbatas pada konteks sesi percakapan.,Antarmuka chat berbasis teks; kemampuan integrasi API yang lebih lemah dibandingkan GPT-4.,"Pengguna umum untuk asisten penulisan, tanya jawab, dan bantuan tugas harian.",1
MegaAgent,Sistem multi-agen otonom skala besar untuk menangani tugas-tugas kompleks tanpa prosedur operasi standar (SOP) yang ditentukan sebelumnya.,Hierarkis (Boss Agent -> Admin Agent -> Ordinary Agent) dengan dekomposisi tugas dinamis dan eksekusi paralel.,"Dekomposisi tugas mandiri, manajemen file multi-file dengan kontrol versi berbasis Git, dan pemantauan sistem hierarkis.","GPT-4o, GPT-4o-mini (melalui API).",Memori jangka panjang menggunakan database vektor (Chroma) untuk menyimpan output dan interaksi masa lalu.,"Eksekusi kode Python, integrasi sistem penyimpanan eksternal, dan fungsi pemanggilan (function calls).","Simulasi sosial skala besar, pengembangan perangkat lunak kompleks, dan perumusan kebijakan nasional.",2
AutoGPT,Eksperimen GPT-4 otonom untuk eksekusi tugas secara mandiri.,Loop otonom (berdasarkan deskripsi fitur sebagai agen yang berpasangan dengan plugin/alat).,Pemanfaatan plugin eksternal atau alat untuk berinteraksi dengan lingkungan dan mengambil pengetahuan terbaru.,"GPT-4, GPT-3.5-turbo.",Tidak disebutkan secara rinci dalam sumber (hanya disebutkan sebagai perbandingan kemampuan penalaran).,Plugin eksternal dan alat pencarian.,Eksekusi tugas otonom umum.,3
MetaGPT,Kerangka kerja pemrograman meta untuk simulasi proses pengembangan perangkat lunak menggunakan multi-agen.,Sekuensial (alur kerja tetap) dengan peran yang telah ditentukan sebelumnya (SOP statis).,"Dukungan multi-file dan kolaborasi berdasarkan peran spesifik (Manajer Produk, Insinyur Perangkat Lunak).","GPT-4, GPT-4o.",Kumpulan pesan bersama (shared message pool) di mana agen mempublikasikan dan berlangganan pesan.,Pengembangan perangkat lunak dan pembuatan kode.,Pengembang perangkat lunak dan otomatisasi alur kerja pengembangan.,2
AutoGen,Memungkinkan aplikasi LLM generasi berikutnya melalui percakapan multi-agen.,Sekuensial dengan ketergantungan pada konfigurasi pengguna dan peran yang ditentukan di awal.,Kemampuan percakapan antar agen untuk penyelesaian tugas.,GPT-4o.,Tidak disebutkan secara spesifik (fokus pada percakapan sekuensial).,Aplikasi berbasis percakapan dan penyelesaian tugas umum.,Pengembang aplikasi AI berbasis percakapan.,2
Hermes Agent,Asisten pengkodean persisten yang dirancang untuk pembelajaran mendalam dari waktu ke waktu.,"Closed learning loop (lingkaran pembelajaran tertutup), orkestrasi berbasis peran, dan server MCP (Model Context Protocol).","Pembuatan keterampilan otonom (agentskills.io), integrasi pelatihan RL (Atropos), dan pemindaian pre-eksekusi Tirith.","Keluarga model Hermes, Nomos, dan Psyche (Nous Research).",Pencarian teks lengkap FTS5 melalui SQLite dan ringkasan bertenaga LLM untuk memori lintas sesi.,7 integrasi termasuk IDE melalui mode server MCP.,Pengembang yang membutuhkan agen yang tumbuh melalui pembelajaran kontinu dan alur kerja riset.,4
OpenClaw (dahulu Clawdbot),Agen AI yang dihosting sendiri (self-hosted) dengan fokus pada jangkauan ekosistem yang luas.,"Model-agnostic runtime, kehadiran selalu aktif lintas saluran pesan.","ClawHub (registri keterampilan komunitas), integrasi dengan VirusTotal untuk pemindaian keamanan.","Anthropic, OpenAI, Google, dan model lokal melalui Ollama.",Memori lintas sesi (detail teknis spesifik tidak disebutkan selain sebagai asisten persisten).,"50+ integrasi termasuk WhatsApp, Telegram, Slack, Discord, Signal, macOS, dan iOS.",Pengembang yang memprioritaskan fleksibilitas model dan aksesibilitas melalui berbagai aplikasi pesan.,4
AutoGPT,Agen AI otonom untuk menyelesaikan tugas multi-langkah melalui perencanaan.,"Paradigma Neural (Generative), siklus perencanaan dan penggunaan alat (tool-use).",Kemampuan untuk mengejar tujuan secara mandiri tanpa campur tangan manusia yang konstan.,Model-model bertenaga Transformer (seperti GPT-4).,Memori persisten (memungkinkan kolaborasi multi-agen dan retensi konteks tugas).,Alat API dan lingkungan eksekusi kode.,Otomasi tugas umum dan penyelesaian masalah kompleks secara otonom.,5
Tren Agentic AI 2026 (Neuro-Symbolic),Sistem hibrida yang menyeimbangkan kemampuan beradaptasi dengan keandalan tinggi.,Integrasi Neuro-Symbolic (menggabungkan modul penalaran simbolis dalam kerangka orkestrasi neural).,"Mitigasi halusinasi, verifiabilitas formal, dan efisiensi biaya melalui model yang lebih kecil.",Hibrida LLM dengan mesin penalaran simbolis.,Lifelong learning (pembelajaran seumur hidup) dengan memori terstruktur eksternal.,Jaringan agen terdesentralisasi (berbasis Blockchain) dan ekosistem multi-agen IoT.,Praktisi yang membutuhkan skalabilitas produksi dalam domain kritis (keamanan/regulasi).,5
Hermes Agent,Asisten percakapan otonom yang mampu meningkatkan kemampuan diri melalui pembuatan dokumen keterampilan (skill) secara mandiri.,Closed learning loop (loop pembelajaran tertutup) dengan subsistem yang dapat diganti-ganti (pluggable).,"Pembuatan keterampilan otomatis (autonomous skill creation), skalabilitas biaya via prompt caching, dan isolasi profil mandiri.",Agnostik model (mendukung berbagai penyedia via API atau lokal melalui Ollama).,"Memori persisten berbasis snapshot (MEMORY.md/USER.md), pencarian sesi SQLite FTS5, dan integrasi pembelajaran penguatan (RL) Atropos.","CLI, TUI, Telegram, Discord, Slack, WhatsApp, Signal, dan server MCP.",Pengembang perangkat lunak dan peneliti yang membutuhkan agen yang belajar dari riwayat tugas jangka panjang.,"6, 7"
OpenClaw (sebelumnya Clawdbot),Agen AI otonom yang di-host sendiri (self-hosted) untuk ekosistem aplikasi perpesanan yang luas.,Ecosystem-first (memprioritaskan jangkauan ekosistem) dengan struktur berbasis 'skills' dari komunitas.,"Dukungan lebih dari 50 integrasi perpesanan, registri keterampilan publik ClawHub, dan adopsi viral (345k+ bintang GitHub).","Agnostik model (Anthropic, OpenAI, Google, dan model lokal).",Memori lintas sesi (cross-session persistence) dengan fitur auto-memory.,"WhatsApp, Telegram, Slack, Discord, Signal, dan 50+ platform lainnya.",Pengguna umum dan pengembang yang membutuhkan akses agen AI di berbagai saluran komunikasi harian.,6
AutoGPT,Agen AI otonom untuk menyelesaikan tugas-tugas kompleks melalui dekomposisi langkah demi langkah.,Iteratif (autonomous loop) untuk perencanaan dan eksekusi tugas tanpa intervensi manusia terus-menerus.,Manajemen tugas mandiri dan kemampuan memanggil alat (tool calling).,Terutama model berbasis GPT.,Memori jangka pendek dan panjang untuk menjaga konteks percakapan berkelanjutan.,Integrasi API eksternal dan skrip Python.,"Otomatisasi bisnis, riset mandiri, dan asisten virtual cerdas.",8
RAG Agen,Menggabungkan pengambilan data eksternal (Retrieval) dengan agen AI untuk jawaban yang akurat dan berbasis konteks real-time.,Hibrida (Retriever + Generator) dengan perencanaan multi-langkah.,Mengurangi halusinasi LLM dan kemampuan mengakses informasi terkini secara mandiri.,"GPT, LLaMA, Granite, Llama-3.",Memori jangka pendek dan panjang; basis data vektor.,"LangChain, LlamaIndex, LangGraph.",Layanan pelanggan cerdas dan manajemen data internal perusahaan.,8
Agentic AI 2026 (Tren Teknologi),Automasi tata kelola sistematis (Governed Automation) di skala perusahaan.,Arsitektur berlapis (GRAF 7-layer) dan orkestrasi multi-agen adaptif.,Ontological Compliance Gateway (OCG) untuk akurasi kepatuhan +54.2% dan efisiensi tokenomics.,"Hirarki model: Nano (tugas sederhana), Mini (tugas moderat), Full (tugas kompleks/kepatuhan tinggi).","Knowledge graphs, vector databases, dan audit trails real-time.","Enterprise Intelligence Platform (EIP), Cloud-native, atau On-premises.","Industri teregulasi (Keuangan, Kesehatan, Hukum) yang membutuhkan otonomi dengan pengawasan ketat.",9
Hermes Agent,"Agen percakapan model-agnostik yang mampu meningkatkan diri sendiri melalui pembuatan dokumen ""skill"" dan pemeliharaan memori persisten.","Loop Agen (The Agent Loop) dengan subsistem yang dapat diganti (pluggable); beroperasi lintas platform (CLI, TUI, Gateway pesan).","Closed learning loop (menulis dokumen skill saat bekerja), prinsip pengungkapan progresif (progressive disclosure), dan pattern COMMAND_REGISTRY.",Agnostik (mendukung berbagai model melalui adapter atau API),"Sistem memori 3 mekanisme: Snapshot MEMORY.md/USER.md, SessionDB (SQLite + FTS5), dan penyedia pluggable (Honcho, mem0, supermemory).","CLI, TUI, Telegram, Discord, Slack, WhatsApp, Signal, Protokol MCP (Model Context Protocol).","Pengembang (dev), pekerja otomasi sistem, dan pengguna yang membutuhkan asisten pribadi yang belajar dari interaksi.",10
AutoGPT,Kerangka kerja orkestrasi agen AI untuk menyelesaikan tugas otonom (sering disebut sebagai dasar perilaku agen LLM).,Topologi agen percakapan dengan pola interaksi yang dapat disesuaikan (Customizable interaction patterns).,Kemampuan pemecahan masalah dengan penalaran tool-augmented (ReAct framework).,GPT-4 dan kelas model serupa (frontier LLMs).,"Tidak dijelaskan spesifik di sumber, namun disebutkan dalam konteks koordinasi multi-agen.","Python-based framework, integrasi ekosistem LLM.",Peneliti AI dan pengembang aplikasi agen otonom generasi berikutnya.,11
Sequential Pipeline (Arsitektur A),Memproses dokumen melalui rantai agen tetap secara berurutan dengan akumulasi konteks.,Sekuensial (Sequential),"Urutan eksekusi deterministik, ketahanan skala (scale-resilient) paling tinggi di volume besar.","GPT-4o, Claude 3.5 Sonnet, Gemini 1.5 Pro, Llama 3 70B, Mixtral 8x22B.",Konteks kumulatif yang diteruskan antar agen dalam rantai.,LangGraph v0.2,"Tugas ekstraksi sederhana (kurang dari 10 jenis field), dokumen pendek, dan lingkungan dengan batasan biaya ketat.",11
Parallel Fan-Out (Arsitektur B),Mengirimkan tugas ekstraksi independen secara simulatan dan menggabungkan hasilnya.,Paralel (Parallel),"Latensi rendah (cepat), skalabilitas throughput hampir linear.","GPT-4o, Claude 3.5 Sonnet, Gemini 1.5 Pro, Llama 3 70B, Mixtral 8x22B.",Rekonsiliasi konflik ekstraksi melalui agen merge dengan skema voting.,LangGraph v0.2,Beban kerja sensitif latensi (real-time) dan domain ekstraksi yang bersifat independen.,11
Hierarchical Supervisor-Worker (Arsitektur C),Agen supervisor mengalokasikan tugas secara dinamis kepada agen pekerja terspesialisasi.,Hierarkis (Hierarchical),"Tradeoff biaya-akurasi terbaik (Pareto optimal), alokasi tugas adaptif berdasarkan kompleksitas.","Mendukung penugasan model heterogen (model kuat untuk field rumit, model murah untuk field sederhana).",Verifikasi selektif dan re-ekstraksi pada field dengan kepercayaan rendah.,LangGraph v0.2,Skenario produksi dokumen keuangan dengan campuran target ekstraksi sederhana dan kompleks (10K-50K dokumen/hari).,11
Reflexive Self-Correcting Loop (Arsitektur D),Melakukan siklus verifikasi dan koreksi mandiri secara iteratif pada output ekstraksi.,Refleksif (Reflexive Loop),"Potensi akurasi tertinggi, deteksi kesalahan melalui aturan konsistensi domain-spesifik.","GPT-4o, Claude 3.5 Sonnet, Gemini 1.5 Pro, Llama 3 70B, Mixtral 8x22B.",Refinement iteratif (hingga 3 iterasi) dan memori episodik.,LangGraph v0.2,Kasus di mana akurasi sangat krusial (compliance-critical) dan volume pemrosesan rendah (<10K dokumen/hari).,11
Hermes Agent,Asisten AI yang selalu aktif (always-on) dan belajar secara mandiri dari pengalaman untuk meningkatkan kemampuan operasional.,Hierarkis (CEO Agent -> Division Agent -> Worker Agent) dengan pola Managed Agents.,"Closed learning loop, pembuatan skill otonom, fault tolerance tingkat tinggi, dan fitur Tirith untuk keamanan perintah.","Anthropic Claude, OpenAI, OpenRouter (200+ model), Ollama (local), MiniMax, Kimi, NovitaAI, NVIDIA NIM.",SQLite dengan pencarian teks lengkap FTS5; memori berbasis persona (~/.config/hermes/profiles/) dan proyek (AGENTS.md).,"Telegram, Discord, Slack, WhatsApp, Signal, dan CLI melalui satu proses gateway tunggal.","Praktisi yang membutuhkan asisten persisten untuk riset, pemantauan DevOps, dan pengembangan kode otomatis.",12-14
AutoGPT,Otomatisasi alur kerja berbasis tujuan (goal-driven) melalui dekomposisi tugas yang terstruktur.,Orkestrator alur kerja dengan visual flow editor (penghubung blok-blok aksi).,"Visual flow editor, marketplace untuk agen dan blok pra-bangun, serta impor alur kerja dari n8n/Make.com.","Utamanya OpenAI, dengan dukungan terbatas untuk Claude melalui SDK.",Penyimpanan memori jangka pendek dan panjang dasar tanpa kemampuan pembelajaran mandiri otonom.,Web UI dan Telegram (baru ditambahkan tahun 2026).,Tim yang membutuhkan otomatisasi batch terstruktur seperti pemrosesan data dan pembuatan laporan.,13
Agentic AI (Tren 2026),"Sistem yang mampu bernalar, bertindak otonom, belajar dari hasil, dan mengoordinasikan berbagai alat/layanan.","Pola koordinasi multi-agen (Hub-Spoke, Mesh, atau Hierarkis) dengan evaluasi pada waktu build.","Agentic-as-a-Service (AaaS), sistem pembelajaran loop tertutup (closed loop), dan penetapan harga berdasarkan hasil (outcome-based).",Model multimodal dan Model Context Protocol (MCP) untuk interoperabilitas antar-agen.,Sistem memori eksternal (Database Vektor) dan RAG agen yang adaptif terhadap konteks.,"Ekosistem Agentic (integrasi dengan CRM, ERP, dan platform pesan seperti Slack/Telegram melalui MCP).",Perusahaan SaaS yang bertransformasi menjadi perusahaan Agentic-as-a-Service untuk efisiensi operasional.,15-17
Hermes Agent,Agen otonom yang melakukan perbaikan mandiri (self-improving) melalui siklus pembelajaran tertutup.,Sekuensial dan Paralel (mampu mendelegasikan tugas ke sub-agen terisolasi).,"Siklus pembelajaran tertutup (closed learning loop), pembuatan skill otonom, dan penjadwalan otomatis (cron).","Model-agnostic (OpenRouter, OpenAI, Nous Portal, Grok, DeepSeek, dll).","Memori persisten tiga lapis (MEMORY.md, USER.md, dan lapisan dialektik Honcho) serta pencarian FTS5.","Mendukung 20+ platform termasuk Telegram, Discord, Slack, WhatsApp, dan Microsoft Teams.",Pengembang (developer) dan pengguna yang membutuhkan asisten persisten lintas perangkat.,18-20
AutoGen (AG2),Kerangka kerja multi-agen untuk orkestrasi tugas melalui protokol percakapan antar agen.,Percakapan (Conversational Emergence) dan Hierarkis (melalui GroupChat).,"Eksekusi kode dalam sandbox (Docker), kemampuan belajar dari feedback pengguna, dan fleksibilitas tinggi.",Berbasis konfigurasi (mendukung berbagai penyedia LLM).,Penyimpanan status (state persistence) terbatas; fokus pada memori dalam percakapan.,"Integrasi Azure, sandboxing lokal/Docker.",Penelitian (research pipelines) dan eksplorasi solusi terbuka.,"21, 22"
CrewAI,Sistem orkestrasi agen berbasis peran untuk otomatisasi alur kerja terstruktur.,"Berbasis Peran (Role-based) dengan proses Sekuensial, Hierarkis, atau Konsensual.","Delegasi tugas antar agen, integrasi 700+ alat melalui MCP, dan mode pelatihan untuk peningkatan performa.",Mendukung berbagai model melalui LiteLLM.,"Sistem memori jangka pendek, jangka panjang, dan entitas.","CrewAI+ (Enterprise), integrasi alat MCP yang luas.",Otomatisasi bisnis perusahaan (enterprise) dan content production.,"21, 22"
LangGraph,Orkestrasi agen berbasis graf untuk kontrol eksekusi yang presisi dan deterministik.,State Machine (Grafik berarah dengan node dan edge).,"Checkpointing untuk pemulihan crash, debugging 'time-travel', dan dukungan Human-in-the-loop asli.",Mendukung model apa pun dalam ekosistem LangChain.,Penyimpanan status thread-level dan checkpointing persisten.,"LangGraph Cloud, integrasi ekosistem LangChain/LangSmith.",Alur kerja kritis (mission-critical) yang membutuhkan kontrol penuh.,22
Agentic AI 2026 (Trend),"Sistem AI otonom yang mampu merencanakan, mengeksekusi, dan mengevaluasi tugas jangka panjang secara mandiri.",Otonom dan Terindustrialisasi (spesifik untuk industri tertentu seperti perbankan).,"Otomatisasi proses manual berulang, spesialisasi industri, dan Business Messaging interaktif.","Model frontier (seperti GPT-5, Claude 4.5, Kimi K2) yang mendukung penalaran tingkat tinggi.",Pengalaman persisten (Experience Engineering) dan pembelajaran berbasis pengalaman (Zero-Alpha).,"Demokratisasi melalui platform pesan (WhatsApp, dll) dan integrasi lintas batas (cross-border).","UMKM, layanan pelanggan, dan otomatisasi industri skala besar.",23-25
Hermes Agent,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Tidak disebutkan dalam sumber,Not in source